imdb_id,title,year,runtime,rating,votes,plot
tt10409774,Fastey Fasaatey,(2019),119 min,4.4,125,Romantic Comedy which is set in the backdrop of a traditional family who want to 'forcibly' get their son Aakash married immediately while he tries to buy time to set his love life in order...                See full summary »
tt0317985,Pehla Pehla Pyar,(1994), ,4.6,125,"Sapna runs away from her aristocratic home, fed-up of the hatred and family politics. She meets with Raj, who she is attracted to. Raj, at first wants to get rid of her, then eventually ...                See full summary »"
tt0239244,Ashanti,(1982), ,5.4,125,"Honest and dedicated Police Inspector Kumar Chandra Singh intercepts a bank robbery, and is in the process of arresting the bank robbers, when he himself becomes a suspect, and is ...                See full summary »"
tt0130197,Prithvi,(1997),136 min,4.6,125,"A newly-married couple go on their honeymoon to a foreign country, when the wife suddenly disappears."
tt0106653,Dalaal,(1993),160 min,5.0,125,"Naive, illiterate Bhola Nath lives in a small village in India, which has yet to receive electricity. Bhola is helpful to everyone around him, and even speaks out against the local ...                See full summary »"
tt0096415,Waqt Ki Awaz,(1988),156 min,5.5,125,"Wealthy Lata I. Prasad refuses to obey her widower father's instructions to get married to equally wealthy Rajan, the second son of Sikanker Lal Thakkar, her dad's business partner. She ...                See full summary »"
tt6349528,Ek Haseena Thi Ek Deewana Tha,(2017),105 min,2.2,124,"Natasha and her fiance, Sunny visit her ancestral property where she meets Devdhar, a man who she forms a passionate connection with."
tt0234207,Marte Dam Tak,(1987),155 min,4.8,124,"Marte Dam Tak a 1987 Indian Hindi film, directed by Mehul Kumar. The film stars Govinda, Raaj Kumar and Farha in lead roles. The film had musical score by Ravindra Jain."
tt0175448,Apna Desh,(1972), ,6.2,124,"Akash is a honest and educated young man, employed by the Bombay Municipal Corporation as a clerk. He lives with his equally honest brother, his sister-in-law, a niece, Sharda, and a nephew...                See full summary »"
tt0158690,Joshila,(1973),137 min,6.1,124,"Jailor Manmohan Krishan is responsible for looking after convicts undergoing sentences of rigorous imprisonment. He has a young, beautiful and captive daughter named Shalini. Shalini is a ...                See full summary »"
tt8430866,Hanuman vs. Mahiravana,(2018),91 min,7.1,123,"The quest to rescue princess Sita is coming to an end as Rama and his army of monkeys make their final push for victory against the demon king Ravana of Lanka. In the ensuing battle, Rama ...                See full summary »"
tt3666258,Coffee Bloom,(2015),90 min,5.9,123,"Dev, though a self proclaimed wise man, finds comfort in being a loser, having given up on life as a result of a love gone wrong. A life changing event takes him on a journey to a coffee plantation."
tt2193145,Maharana Pratap: The First Freedom Fighter,(2012),145 min,4.4,123,"Maharana Pratap's clashes with Akbar and Man Singh I, which caused the battle of Haldighati."
tt1185256,Mr. Medhavi,(2008), ,6.0,123,A young Vishwak meets Sweta and falls in love with her. Their relationship begins to dwindle when Vishwak becomes increasingly manipulative and selfish to succeed in life.
tt1152845,Showbiz,(2007),108 min,3.7,123,"Rohan Arya lives a wealthy lifestyle in Mumbai and is a professional singer with Showbiz, which is managed by Inder Raj Bahl, while Rohan's personal Manager is Shikha Verma. Rohan and ...                See full summary »"
tt0359135,Dus Numbri,(1976),155 min,5.3,123,"Inspector Shiv Nath is a honest and diligent police officer in Bombay, and lives with his wife, Radha, and a young son, Arjun. While making several arrests in connection with counterfeit ...                See full summary »"
tt0137958,Mirza Ghalib,(1954),145 min,7.1,123,"This movie depicts the life of once wealthy poet and nobleman Mirza Ghalib. This story portrays his trials, tribulations, triumphs, and utlimate descent to poverty, and then to prison; and ...                See full summary »"
tt3407604,Will You Marry Me,(2012),135 min,4.6,122,A group of bachelors place a wager to see who will go the longest time without getting married.
tt1754137,Little Terrors,(2014),103 min,5.8,122,"A 13-year-old American boy is recruited by terrorists to bomb a U.S. embassy in Delhi. After being brainwashed he is sent to live with a Muslim family prior to the attack. However, the man ...                See full summary »"
tt0381090,Chupke Se,(2003),164 min,5.5,122,"An ordinary girl aspires to become a beauty queen. She signs a contract with a man who has a reputation for churning out the best models in the industry. But, reality is far from what she believes."
tt0239495,Jaal,(1986), ,5.2,122,"Shankar Verma lives a poor lifestyle with his mom, Shanti, in India after His father, Sathpal, leaves the family for a courtesan by the name of Meenabai. Years later, Shankar has now grown ...                See full summary »"
tt0155227,Swarag Se Sunder,(1986), ,5.1,122,Vijay is the head of the village living with his wife Laxmi he is looked with respect by everyone in village for the changes he has done to his village but Milavat Ram and Paanalal are ...                See full summary »
tt0081147,Meera,(1979),155 min,6.6,122,"Circa Mughal rule in India, the Rajputs get together to discuss the ouster of Badshah Akbar, who is now the Emperor of Hindustan (India). Prominent amongst the Rajputs are Virendev Rathod, ...                See full summary »"
tt0066787,Ashad Ka Ek Din,(1971),114 min,7.2,122,"Aashad Ka Ek Din is an adaptation of the play that is based on Kalidasa's life in three acts. Kalidasa is renowned as one of the greatest writers, poets and dramatists in the history of Sanskrit language."
tt0045529,Baaz,(1953),140 min,6.8,122,"Nisha lives a poor lifestyle in the Portuguese-ruled Malabar region in India along with her widowed dad, Narayan Das. Both father and daughter are opposed to the oppressive rule of the ...                See full summary »"
tt1964886,Love Express,(2011),141 min,5.1,121,A series of rumors and the incompatibility of the bride and groom threaten to derail a train-bound wedding party.
tt1682931,Life! Camera Action...,(2012),90 min,7.3,121,A young girl in pursuit of her dreams of becoming a filmmaker against all odds.
tt14253018,RK/RKAY,(2021),95 min,7.0,121,"RK is a filmmaker, making a new film, in which he also plays the lead character of Mahboob. Its a quaint film, like a tribute to the cinema of the sixties. People close to him are not ...                See full summary »"
tt0982875,Gauri: The Unborn,(2007),98 min,3.6,121,"Mumbai-based Architect, Sudeep, secures a contract and decides to celebrate by going on a much-needed vacation to Mauritius along with his wife, Roshni, and school-going daughter, Shivani. ...                See full summary »"
